GEOID,distance_to_ohare,total_popE,med_incomeE,pct_owner_occupied,pct_white,pct_black,pct_hispanic
170311703001,6.176071724048783,459,63750,48.84615384615385,71.24183006535948,0,27.66884531590414
170311704003,5.103778583842791,1806,103355,87.76371308016878,67.33111849390919,1.3842746400885935,43.798449612403104
170311710004,6.122282563384303,972,96090,100,71.39917695473251,0,31.584362139917694
170311705002,3.95080859173328,982,126989,95.6140350877193,96.23217922606925,0,5.8044806517311605
170311709001,5.6137954130235945,1970,68500,65.1840490797546,56.954314720812185,0,51.776649746192895
170311703004,5.651469012294548,1066,116087,96.3855421686747,45.21575984990619,0,37.61726078799249
170311711003,6.658008578606982,990,55449,46.63677130044843,74.64646464646465,3.6363636363636362,20.909090909090907
170311710002,6.511977260223564,1268,74265,90.7749077490775,67.11356466876973,0,45.89905362776025
170311707002,5.113085912152613,1188,NA,63.18082788671025,78.11447811447812,0,28.703703703703702
170311705001,4.673433405411968,1448,64239,64.57564575645756,64.57182320441989,0,54.69613259668509
170311703003,5.7683950559617525,780,77246,68.77470355731225,39.35897435897436,0,61.410256410256416
170311708002,5.394664918403001,1490,60847,71.42857142857143,62.5503355704698,15.167785234899329,37.04697986577181
170311707003,4.855758279581976,1431,98882,86.5934065934066,66.87631027253668,0.8385744234800839,30.74772886093641
170311705004,4.331745902467583,622,NA,68.48484848484848,68.81028938906752,6.913183279742766,11.736334405144696
170311703002,5.884751102446103,1232,99821,89.90825688073394,72.24025974025975,0,31.737012987012985
170311705003,4.201871992297932,2109,88071,70.65727699530517,62.63632053105738,2.892366050260787,25.604551920341397
170311706001,4.698461059283162,926,75434,96.9309462915601,78.07775377969762,0.32397408207343414,18.466522678185747
170311711001,6.841474580792339,2085,153640,82.5040128410915,55.73141486810551,2.6378896882494005,54.24460431654676
170311704004,4.9877739701982176,891,127604,100,67.90123456790124,17.396184062850732,22.895622895622896
170311704002,5.359889309796052,701,74464,79.58656330749353,80.4564907275321,2.9957203994293864,5.1355206847360915
170311710005,5.923286978287381,1016,79309,67.11590296495957,61.61417322834646,0,36.811023622047244
170311707001,4.977776674750418,641,82737,84.18972332015811,90.48361934477379,0,40.09360374414976
170311702002,6.701316604976666,1498,105099,91.15646258503402,49.599465954606146,0,54.939919893190925
170311710006,5.726742186484951,1309,102986,48.922413793103445,58.82352941176471,3.972498090145149,34.07181054239878
170311708003,5.2294034234418705,1419,64076,80.63973063973064,76.46229739252995,4.651162790697675,28.4707540521494
170311706002,4.520815563174406,1564,82679,85.81687612208259,71.99488491048594,1.9181585677749362,24.616368286445013
170311703005,5.505246739130446,1444,65893,68.7037037037037,68.5595567867036,0,23.614958448753463
170311702003,6.498128689670811,1190,80833,74.235807860262,76.30252100840336,0.25210084033613445,51.42857142857142
170311704001,5.251785375303298,591,101250,73.0392156862745,67.85109983079526,0,27.072758037225043
170311708001,5.559806221552865,1100,107188,88.20224719101124,54.90909090909091,3.4545454545454546,37.18181818181818
170311710001,6.405509280262178,1225,NA,60.28481012658228,70.61224489795919,0,24.816326530612244
170311710003,6.233220025714658,1039,127024,100,40.23099133782483,32.435033686236764,27.237728585178054
170311711002,6.941489235103007,1028,94674,100,57.490272373540854,3.0155642023346303,67.41245136186771
170311702001,6.737023694888479,1064,138894,100,89.84962406015038,0.09398496240601503,27.349624060150372
170311701001,5.864735237285307,2030,46571,78.62129144851659,84.48275862068965,3.891625615763547,9.655172413793103
